date	visits	yesterday	lastyear
20110101	1	0	0
20110102	1	1	0
20110103	1	1	0
20110104	2	1	0
20110105	1	2	0
20110106	2	1	0
20110107	1	2	0
20110108	3	1	0
20110109	2	3	0
20110110	3	2	0
20110111	0	3	0
20110112	3	0	0
20110113	2	3	0
20110114	5	2	0
20110115	0	5	0
20110116	2	0	0
20110117	1	2	0
20110118	1	1	0
20110119	0	1	0
20110120	0	0	0
20110121	0	0	0
20110122	1	0	0
20110123	3	1	0
20110124	2	3	0
20110125	1	2	0
20110126	1	1	0
20110127	1	1	0
20110128	2	1	0
20110129	1	2	0
20110130	3	1	0
20110131	2	3	0
20110201	2	2	0
20110202	2	2	0
20110203	0	2	0
20110204	0	0	0
20110205	4	0	0
20110206	0	4	0
20110207	3	0	0
20110208	1	3	0
20110209	2	1	0
20110210	1	2	0
20110211	3	1	0
20110212	0	3	0
20110213	3	0	0
20110214	1	3	0
20110215	4	1	0
20110216	4	4	0
20110217	1	4	0
20110218	0	1	0
20110219	0	0	0
20110220	3	0	0
20110221	2	3	0
20110222	1	2	0
20110223	1	1	0
20110224	0	1	0
20110225	1	0	0
20110226	3	1	0
20110227	2	3	0
20110228	1	2	0
20110301	2	1	0
20110302	2	2	0
20110303	1	2	0
20110304	2	1	0
20110305	1	2	0
20110306	1	1	0
20110307	0	1	0
20110308	1	0	0
20110309	1	1	0
20110310	1	1	0
20110311	1	1	0
20110312	2	1	0
20110313	3	2	0
20110314	2	3	0
20110315	3	2	0
20110316	0	3	0
20110317	2	0	0
20110318	4	2	0
20110319	5	4	0
20110320	2	5	0
20110321	5	2	0
20110322	5	5	0
20110323	1	5	0
20110324	1	1	0
20110325	3	1	0
20110326	1	3	0
20110327	4	1	0
20110328	3	4	0
20110329	3	3	0
20110330	3	3	0
20110331	3	3	0
20110401	4	3	0
20110402	5	4	0
20110403	8	5	0
20110404	7	8	0
20110405	7	7	0
20110406	8	7	0
20110407	2	8	0
20110408	1	2	0
20110409	9	1	0
20110410	8	9	0
20110411	5	8	0
20110412	5	5	0
20110413	6	5	0
20110414	4	6	0
20110415	6	4	0
20110416	1	6	01
20110417	7	1	01
20110418	4	7	0
20110419	7	4	0
20110420	9	7	0
20110421	7	9	0
20110422	3	7	0
20110423	5	3	0
20110424	4	5	0
20110425	7	4	0
20110426	3	7	0
20110427	3	3	0
20110428	7	3	0
20110429	1	7	02
20110430	8	1	02
20110501	8	8	0
20110502	6	8	0
20110503	7	6	0
20110504	8	7	0
20110505	9	8	0
20110506	4	9	0
20110507	8	4	0
20110508	7	8	0
20110509	4	7	0
20110510	2	4	0
20110511	1	2	04
20110512	5	1	04
20110513	7	5	0
20110514	4	7	0
20110515	9	4	0
20110516	5	9	0
20110517	8	5	0
20110518	1	8	01
20110519	8	1	01
20110520	7	8	0
20110521	9	7	0
20110522	1	9	03
20110523	7	1	03
20110524	1	7	00
20110525	7	1	00
20110526	5	7	0
20110527	8	5	0
20110528	3	8	0
20110529	7	3	0
20110530	4	7	0
20110531	7	4	0
20110601	6	7	0
20110602	7	6	0
20110603	6	7	0
20110604	4	6	0
20110605	8	4	0
20110606	9	8	0
20110607	3	9	0
20110608	7	3	0
20110609	4	7	0
20110610	1	4	01
20110611	1	1	012
20110612	1	1	021
20110613	9	1	01
20110614	0	9	0
20110615	1	0	0
20110616	1	1	0
20110617	4	1	0
20110618	0	4	0
20110619	2	0	0
20110620	0	2	0
20110621	0	0	0
20110622	1	0	0
20110623	2	1	0
20110624	2	2	0
20110625	1	2	0
20110626	1	1	0
20110627	0	1	0
20110628	4	0	0
20110629	1	4	0
20110630	1	1	0
20110701	0	1	0
20110702	1	0	0
20110703	2	1	0
