date	visits	yesterday	lastyear
20130101	1	0	0
20130102	1	1	0
20130103	1	1	0
20130104	2	1	0
20130105	1	2	0
20130106	2	1	0
20130107	1	2	0
20130108	3	1	0
20130109	2	3	0
20130110	3	2	0
20130111	0	3	0
20130112	3	0	0
20130113	2	3	0
20130114	5	2	0
20130115	0	5	0
20130116	2	0	0
20130117	1	2	0
20130118	1	1	0
20130119	1	1	0
20130120	0	1	0
20130121	0	0	0
20130122	1	0	0
20130123	3	1	0
20130124	2	3	0
20130125	1	2	0
20130126	1	1	0
20130127	1	1	0
20130128	2	1	0
20130129	1	2	0
20130130	3	1	0
20130131	2	3	0
20130201	2	2	0
20130202	2	2	0
20130203	0	2	0
20130204	0	0	0
20130205	4	0	0
20130206	0	4	0
20130207	3	0	0
20130208	1	3	0
20130209	2	1	0
20130210	1	2	0
20130211	3	1	0
20130212	0	3	0
20130213	3	0	0
20130214	1	3	0
20130215	4	1	0
20130216	4	4	0
20130217	1	4	0
20130218	0	1	0
20130219	0	0	0
20130220	3	0	0
20130221	2	3	0
20130222	1	2	0
20130223	1	1	0
20130224	0	1	0
20130225	1	0	0
20130226	3	1	0
20130227	2	3	0
20130228	1	2	0
20130301	2	1	0
20130302	2	2	0
20130303	1	2	0
20130304	2	1	0
20130305	1	2	0
20130306	1	1	0
20130307	0	1	0
20130308	1	0	0
20130309	1	1	0
20130310	1	1	0
20130311	2	1	0
20130312	2	2	0
20130313	3	2	0
20130314	2	3	0
20130315	3	2	0
20130316	0	3	0
20130317	2	0	0
20130318	4	2	0
20130319	5	4	0
20130320	2	5	0
20130321	5	2	0
20130322	5	5	0
20130323	1	5	0
20130324	1	1	0
20130325	3	1	0
20130326	1	3	0
20130327	4	1	0
20130328	3	4	0
20130329	3	3	0
20130330	3	3	0
20130331	4	3	0
20130401	4	4	0
20130402	5	4	0
20130403	8	5	0
20130404	7	8	0
20130405	7	7	0
20130406	8	7	0
20130407	2	8	0
20130408	1	2	0
20130409	1	1	0
20130410	8	1	0
20130411	5	8	0
20130412	5	5	0
20130413	6	5	0
20130414	4	6	0
20130415	6	4	0
20130416	1	6	0
20130417	7	1	0
20130418	4	7	0
20130419	7	4	0
20130420	9	7	0
20130421	7	9	0
20130422	3	7	0
20130423	5	3	0
20130424	4	5	0
20130425	7	4	0
20130426	4	7	0
20130427	4	4	0
20130428	9	4	0
20130429	1	9	0
20130430	9	1	0
20130501	8	9	0
20130502	6	8	0
20130503	7	6	0
20130504	8	7	0
20130505	1	8	0
20130506	4	1	0
20130507	8	4	0
20130508	7	8	0
20130509	4	7	0
20130510	2	4	0
20130511	1	2	0
20130512	5	1	0
20130513	7	5	0
20130514	4	7	0
20130515	9	4	0
20130516	7	9	0
20130517	8	7	0
20130518	1	8	0
20130519	1	1	0
20130520	7	1	0
20130521	9	7	0
20130522	1	9	0
20130523	7	1	0
20130524	1	7	0
20130525	7	1	0
20130526	6	7	0
20130527	8	6	0
20130528	3	8	0
20130529	8	3	0
20130530	6	8	0
20130531	7	6	0
20130601	8	7	0
20130602	7	8	0
20130603	6	7	0
20130604	4	6	0
20130605	8	4	0
20130606	9	8	0
20130607	6	9	0
20130608	7	6	0
20130609	5	7	0
20130610	1	5	0
20130611	1	1	0
20130612	1	1	0
20130613	1	1	0
20130614	0	1	0
20130615	1	0	0
20130616	1	1	0
20130617	4	1	0
20130618	0	4	0
20130619	2	0	0
20130620	0	2	0
20130621	0	0	0
20130622	1	0	0
20130623	2	1	0
20130624	2	2	0
20130625	1	2	0
20130626	1	1	0
20130627	0	1	0
20130628	4	0	0
20130629	1	4	0
20130630	1	1	0
20130701	0	1	0
20130702	1	0	0
20130703	2	1	0
20130704	2	2	0
20130705	0	2	0
20130706	5	0	0
20130707	2	5	0
20130708	1	2	0
20130709	3	1	0
20130710	3	3	0
20130711	4	3	0
20130712	2	4	0
20130713	1	2	0
20130714	2	1	0
20130715	0	2	0
20130716	0	0	0
20130717	0	0	0
20130718	1	0	0
20130719	0	1	0
20130720	1	0	0
20130721	1	1	0
20130722	0	1	0
20130723	1	0	0
20130724	2	1	0
20130725	0	2	0
20130726	0	0	0
20130727	1	0	0
20130728	1	1	0
20130729	1	1	0
20130730	0	1	25
20130731	2	0	0
20130801	0	2	9
20130802	2	0	32
20130803	1	2	28
20130804	0	1	25
20130805	1	0	25
20130806	2	1	15
20130807	0	2	22
20130808	2	0	16
20130809	2	2	23
20130810	1	2	16
20130811	2	1	1
20130812	0	2	2
20130813	1	0	2
20130814	1	1	1
20130815	0	1	0
20130816	1	0	2
20130817	1	1	1
20130818	3	1	1
20130819	0	3	2
